date;Heat Flux;T1;T2;U;Analysis period;U24;U2/3s;U2/3e;
2018-12-15 18:15:26;25.5029640197754;23.0625;9.625;;0;0;0;0;
2018-12-15 18:25:26;27.0317516326904;23.125;9.75;;0;0;0;0;
2018-12-15 18:35:26;26.3368473052979;23;9.3125;;0;0;0;0;
2018-12-15 18:45:26;23.8351936340332;23;10;;0;0;0;0;
2018-12-15 18:55:26;24.5300979614258;23;9.875;;0;0;0;0;
2018-12-15 19:05:26;24.2521362304688;23;10;;0;0;0;0;
2018-12-15 19:15:26;25.6419429779053;23;9.375;;0;0;0;0;
2018-12-15 19:25:26;25.3639831542969;23;10.0625;;0;0;0;0;
2018-12-15 19:35:26;25.6419429779053;22.875;9.625;;0;0;0;0;
2018-12-15 19:45:26;23.9741744995117;22.9375;9.375;;0;0;0;0;
2018-12-15 19:55:26;24.3911170959473;22.875;9.625;;0;0;0;0;
2018-12-15 20:05:26;25.7809238433838;23;9.875;;0;0;0;0;
2018-12-15 20:15:26;24.1131553649902;22.875;9.5625;;0;0;0;0;
2018-12-15 20:25:26;25.3639831542969;22.875;9.5;;0;0;0;0;
2018-12-15 20:35:26;24.3911170959473;22.875;9.625;;0;0;0;0;
2018-12-15 20:45:26;25.7809238433838;22.875;10;;0;0;0;0;
2018-12-15 20:55:26;24.6690788269043;22.875;9.5;;0;0;0;0;
2018-12-15 21:05:26;24.3911170959473;22.875;9.75;;0;0;0;0;
2018-12-15 21:15:26;23.9741744995117;22.875;10.0625;;0;0;0;0;
2018-12-15 21:25:26;25.5029640197754;22.875;9.8125;;0;0;0;0;
2018-12-15 21:35:26;23.6962127685547;22.875;9.875;;0;0;0;0;
2018-12-15 21:45:26;23.9741744995117;22.8125;9.5;;0;0;0;0;
2018-12-15 21:55:26;24.6690788269043;22.875;9.75;;0;0;0;0;
2018-12-15 22:05:26;25.3639831542969;22.75;9.625;;0;0;0;0;
2018-12-15 22:15:26;24.9470405578613;22.75;9.625;;0;0;0;0;
2018-12-15 22:25:26;24.9470405578613;22.75;9.75;;0;0;0;0;
2018-12-15 22:35:26;27.1707324981689;22.6875;9.5;;0;0;0;0;
2018-12-15 22:45:26;23.1402912139893;22.6875;10;;0;0;0;0;
2018-12-15 22:55:26;25.5029640197754;22.75;9.75;;0;0;0;0;
2018-12-15 23:05:26;25.7809238433838;22.75;9.75;;0;0;0;0;
2018-12-15 23:15:26;25.2250022888184;22.8125;9.625;;0;0;0;0;
2018-12-15 23:25:26;23.4182529449463;22.75;10;;0;0;0;0;
2018-12-15 23:35:26;24.6690788269043;22.625;9.875;;0;0;0;0;
2018-12-15 23:45:26;24.5300979614258;22.6875;9.5;;0;0;0;0;
2018-12-15 23:55:26;26.3368473052979;22.75;10;;0;0;0;0;
2018-12-16 00:05:26;23.6962127685547;22.75;9.3125;;0;0;0;0;
2018-12-16 00:15:26;24.6690788269043;22.75;8.875;;0;0;0;0;
2018-12-16 00:25:26;23.9741744995117;22.6875;8.125;;0;0;0;0;
2018-12-16 00:35:26;22.8623294830322;22.6875;9.375;;0;0;0;0;
2018-12-16 00:45:26;23.9741744995117;22.625;8.625;;0;0;0;0;
2018-12-16 00:55:26;24.1131553649902;22.625;8.6875;;0;0;0;0;
2018-12-16 01:05:26;25.7809238433838;22.5;8.625;;0;0;0;0;
2018-12-16 01:15:26;22.5843677520752;22.5;9.1875;;0;0;0;0;
2018-12-16 01:25:26;23.0013103485107;22.625;9.25;;0;0;0;0;
2018-12-16 01:35:26;24.5300979614258;22.625;10.125;;0;0;0;0;
2018-12-16 01:45:26;24.8080596923828;22.75;10.125;;0;0;0;0;
2018-12-16 01:55:26;25.7809238433838;22.625;10;;0;0;0;0;
2018-12-16 02:05:26;25.3639831542969;22.75;9.875;;0;0;0;0;
2018-12-16 02:15:26;23.9741744995117;22.75;9.6875;;0;0;0;0;
2018-12-16 02:25:26;24.8080596923828;22.75;9.375;;0;0;0;0;
2018-12-16 02:35:26;25.0860214233398;22.625;9.125;;0;0;0;0;
2018-12-16 02:45:26;24.2521362304688;22.625;8.875;;0;0;0;0;
2018-12-16 02:55:26;23.9741744995117;22.625;8.625;;0;0;0;0;
2018-12-16 03:05:26;24.6690788269043;22.625;8.5625;;0;0;0;0;
2018-12-16 03:15:26;26.1978664398193;22.625;9;;0;0;0;0;
