date;Heat Flux;T1;T2;U;Analysis period (0=no, 1 = yes);U24;U2/3s;U2/3e;
2019-02-20 08:54:27;32.8689422607422;22.4375;6.875;;0;0;0;0;
2019-02-20 09:04:27;28.0046157836914;22.4375;7.375;;0;0;0;0;
2019-02-20 09:14:27;30.0893268585205;23;7.125;;0;0;0;0;
2019-02-20 09:24:27;30.3672885894775;23;7.625;;0;0;0;0;
2019-02-20 09:34:27;25.9199047088623;23;8;;0;0;0;0;
2019-02-20 09:44:27;27.1707324981689;23.25;8.5;;0;0;0;0;
2019-02-20 09:54:27;20.2216949462891;22.25;8.75;;0;0;0;0;
2019-02-20 10:04:27;20.3606758117676;22.5;9.3125;;0;0;0;0;
2019-02-20 10:14:27;26.6148090362549;23.125;9.125;;0;0;0;0;
2019-02-20 10:24:27;24.3911170959473;23.375;9.375;;0;0;0;0;
2019-02-20 10:34:27;23.4182529449463;23.625;9.625;;0;0;0;0;
2019-02-20 10:44:27;25.6419429779053;23.75;10.5;;0;0;0;0;
2019-02-20 10:54:27;19.943733215332;23.4375;10.625;;0;0;0;0;
2019-02-20 11:04:27;18.13698387146;23.25;11.125;;0;0;0;0;
2019-02-20 11:14:27;22.7233486175537;23.4375;11.5625;;0;0;0;0;
2019-02-20 11:24:27;22.1674251556396;23.5;11.375;;0;0;0;0;
2019-02-20 11:34:27;24.2521362304688;23.5625;11.5625;;0;0;0;0;
2019-02-20 11:44:27;24.9470405578613;23.625;11.75;;0;0;0;0;
2019-02-20 11:54:27;27.3097133636475;23.625;12.125;;0;0;0;0;
2019-02-20 12:04:27;27.5876731872559;23.75;12.25;;0;0;0;0;
2019-02-20 12:14:27;26.1978664398193;23.625;12.4375;;0;0;0;0;
2019-02-20 12:24:27;24.5300979614258;23.625;12.5;;0;0;0;0;
2019-02-20 12:34:27;24.5300979614258;23.5;12.75;;0;0;0;0;
2019-02-20 12:44:27;23.5572338104248;23.5;12.875;;0;0;0;0;
2019-02-20 12:54:27;23.6962127685547;23.5625;12.875;;0;0;0;0;
2019-02-20 13:04:27;21.0555801391602;23.625;13.5;;0;0;0;0;
2019-02-20 13:14:27;20.4996566772461;23.5;13.4375;;0;0;0;0;
2019-02-20 13:24:27;24.2521362304688;23.3125;13.25;;0;0;0;0;
2019-02-20 13:34:27;22.3064060211182;23.75;13.6875;;0;0;0;0;
2019-02-20 13:44:27;21.3335418701172;24;13.75;;0;0;0;0;
2019-02-20 13:54:27;19.943733215332;24.1875;14.25;;0;0;0;0;
2019-02-20 14:04:27;22.0284442901611;24.25;14.0625;;0;0;0;0;
2019-02-20 14:14:27;20.0827140808105;24.375;14.75;;0;0;0;0;
2019-02-20 14:24:27;23.5572338104248;24.375;14;;0;0;0;0;
2019-02-20 14:34:27;30.6452503204346;24.375;14;;0;0;0;0;
2019-02-20 14:44:27;19.8047542572021;23.4375;14.25;;0;0;0;0;
2019-02-20 14:54:27;19.2488307952881;23.125;14;;0;0;0;0;
2019-02-20 15:04:27;26.1978664398193;24;14.125;2.65294850023487;1;1;1;0;
2019-02-20 15:14:27;24.8080596923828;24;14.125;2.58257853833935;1;1;1;0;
2019-02-20 15:24:27;24.8080596923828;24;14.125;2.55912188437418;1;1;1;0;
2019-02-20 15:34:27;25.7809238433838;24.125;14;2.55584678409984;1;1;1;0;
2019-02-20 15:44:27;26.3368473052979;24.1875;14.125;2.56826613748089;1;1;1;0;
2019-02-20 15:54:27;28.421558380127;23.875;13.875;2.61405751897001;1;1;1;0;
2019-02-20 16:04:27;29.1164627075195;24.25;13.875;2.64249015937187;1;1;1;0;
2019-02-20 16:14:27;28.5605392456055;24.1875;13.875;2.65876170567104;1;1;1;0;
2019-02-20 16:24:27;29.5334033966064;24.1875;13.75;2.67836393900344;1;1;1;0;
2019-02-20 16:34:27;30.5062694549561;24.25;13.5625;2.69687567191224;1;1;1;0;
2019-02-20 16:44:27;29.5334033966064;24.125;13.5;2.70470729224666;1;1;1;0;
2019-02-20 16:54:27;30.228307723999;24;13.25;2.71407887218444;1;1;1;0;
2019-02-20 17:04:27;28.421558380127;23.75;13.3125;2.7147785267171;1;1;1;0;
2019-02-20 17:14:27;28.699520111084;23.625;13.25;2.71848955946039;1;1;1;0;
2019-02-20 17:24:27;27.8656349182129;23.5;13.1875;2.71739441808993;1;1;1;0;
2019-02-20 17:34:27;30.228307723999;23.3125;13.125;2.7328822969166;1;1;1;0;
2019-02-20 17:44:27;28.699520111084;23.1875;12.4375;2.72900388445951;1;1;1;0;
2019-02-20 17:54:27;30.5062694549561;23;11.75;2.72795712567943;1;1;1;0;
2019-02-20 18:04:27;33.0079231262207;22.875;11.4375;2.73709448851767;1;1;1;0;
2019-02-20 18:14:27;33.5638465881348;22.75;11.125;2.74542940509853;1;1;1;0;
2019-02-20 18:24:27;32.0350570678711;22.625;11.125;2.74752388799265;1;1;1;0;
2019-02-20 18:34:27;30.5062694549561;22.5625;11.0625;2.74283209560121;1;1;1;0;
2019-02-20 18:44:27;30.9232120513916;22.375;11.0625;2.74240090389012;1;1;1;0;
2019-02-20 18:54:27;30.0893268585205;22.375;10.9375;2.73739597109356;1;1;1;0;
2019-02-20 19:04:27;30.3672885894775;22.3125;10.875;2.73386329928149;1;1;1;0;
2019-02-20 19:14:27;32.4519996643066;22.25;10.875;2.73873599416786;1;1;1;0;
2019-02-20 19:24:27;32.0350570678711;22.125;10.875;2.74296950057281;1;1;1;0;
2019-02-20 19:34:27;34.1197662353516;22;10.6875;2.75325210875957;1;1;1;0;
2019-02-20 19:44:27;32.0350570678711;22;10.625;2.75555051142324;1;1;1;0;
2019-02-20 19:54:27;30.6452503204346;21.875;10.5;2.75338767539229;1;1;1;0;
2019-02-20 20:04:27;31.7570953369141;22;10.625;2.7546945428688;1;1;1;0;
2019-02-20 20:14:27;31.6181144714355;21.9375;11;2.75900242612814;1;1;1;0;
2019-02-20 20:24:27;31.0621929168701;21.9375;10.4375;2.75713626828854;1;1;1;0;
2019-02-20 20:34:27;34.1197662353516;21.875;10.25;2.7627455094928;1;1;1;0;
2019-02-20 20:44:27;31.7570953369141;21.6875;10.3125;2.76361606411588;1;1;1;0;
2019-02-20 20:54:27;32.4519996643066;21.625;10.375;2.76709491782744;1;1;1;0;
2019-02-20 21:04:27;32.7299613952637;21.625;10.375;2.77106981258218;1;1;1;0;
2019-02-20 21:14:27;32.1740379333496;21.75;10.375;2.77264763245891;1;1;1;0;
2019-02-20 21:24:27;31.3401527404785;21.75;10;2.76973832236427;1;1;1;0;
2019-02-20 21:34:27;34.5367088317871;21.5625;10;2.77548242637674;1;1;1;0;
2019-02-20 21:44:27;32.0350570678711;21.5625;9.75;2.77381154739284;1;1;1;0;
2019-02-20 21:54:27;32.0350570678711;21.625;9.625;2.77109894009808;1;1;1;0;
2019-02-20 22:04:27;33.2858848571777;21.5;9.625;2.7719004940952;1;1;1;0;
2019-02-20 22:14:27;33.7028274536133;21.375;9.6875;2.77459585737376;1;1;1;0;
2019-02-20 22:24:27;33.2858848571777;21.5;9.25;2.77318118689195;1;1;1;0;
2019-02-20 22:34:27;31.6181144714355;21.375;9.25;2.76923873616576;1;1;1;0;
2019-02-20 22:44:27;33.8418083190918;21.375;9.125;2.76908263794238;1;1;1;0;
2019-02-20 22:54:27;34.6756896972656;21.375;9.25;2.77114603182514;1;1;1;0;
2019-02-20 23:04:27;34.5367088317871;21.375;9.1875;2.77254526027086;1;1;1;0;
2019-02-20 23:14:27;34.3977279663086;21.375;9.3125;2.77425590947828;1;1;1;0;
2019-02-20 23:24:27;34.5367088317871;21.25;9.375;2.77705208139528;1;1;1;0;
2019-02-20 23:34:27;35.0926322937012;21.25;9.375;2.78069024751377;1;1;1;0;
2019-02-20 23:44:27;32.3130187988281;21.375;9.375;2.77891183728189;1;1;1;0;
2019-02-20 23:54:27;38.0112266540527;21.25;9.4375;2.7874799762077;1;1;1;0;
2019-02-21 00:04:27;33.8418083190918;21.375;9.5;2.78867999014733;1;1;1;0;
2019-02-21 00:14:27;32.7299613952637;21.25;9.5;2.78862110377187;1;1;1;0;
2019-02-21 00:24:27;32.8689422607422;21.25;9.375;2.7882372452659;1;1;1;0;
2019-02-21 00:34:27;33.8418083190918;21.125;9.5;2.79042722375454;1;1;1;0;
2019-02-21 00:44:27;32.1740379333496;21.125;9.5;2.79002857396778;1;1;1;0;
2019-02-21 00:54:27;32.8689422607422;21.25;9.5625;2.79041411817129;1;1;1;0;
2019-02-21 01:04:27;31.7570953369141;21;9.5;2.78992997478827;1;1;1;0;
2019-02-21 01:14:27;32.8689422607422;21.25;9.5;2.79005483983135;1;1;1;0;
2019-02-21 01:24:27;31.8960762023926;21.125;9.4375;2.7890518460931;1;1;1;0;
2019-02-21 01:34:27;32.0350570678711;21.125;9.3125;2.78779125725198;1;1;1;0;
2019-02-21 01:44:27;32.5909805297852;21.1875;9.25;2.78685394840369;1;1;1;0;
2019-02-21 01:54:27;34.8146705627441;21;9.375;2.7900948277167;1;1;1;0;
2019-02-21 02:04:27;33.0079231262207;21;9.4375;2.79108156260878;1;1;1;0;
2019-02-21 02:14:27;31.0621929168701;21.125;9.25;2.78837559914608;1;1;1;0;
2019-02-21 02:24:27;33.8418083190918;21.0625;9.4375;2.79020266954175;1;1;1;0;
2019-02-21 02:34:27;32.7299613952637;21;9.25;2.79013339174692;1;1;1;0;
2019-02-21 02:44:27;30.9232120513916;21.125;9.25;2.78738724046452;1;1;1;0;
2019-02-21 02:54:27;31.3401527404785;20.875;9.1875;2.7858713557605;1;1;1;0;
2019-02-21 03:04:27;33.8418083190918;21;9.25;2.7872092015015;1;1;1;0;
2019-02-21 03:14:27;33.9807891845703;21.0625;8.75;2.78680851834348;1;1;1;0;
2019-02-21 03:24:27;32.5909805297852;21;8.375;2.7837692721368;1;1;1;0;
2019-02-21 03:34:27;36.2044792175293;21;8.375;2.78499311867173;1;1;1;0;
2019-02-21 03:44:27;38.2891883850098;21;7.75;2.78657244401676;1;1;1;0;
2019-02-21 03:54:27;35.2316131591797;21;7.5625;2.78409242265956;1;1;1;0;
2019-02-21 04:04:27;36.8993835449219;21;7.5;2.78333524149792;1;1;1;0;
2019-02-21 04:14:27;36.3434600830078;20.875;7.25;2.78161736227023;1;1;1;0;
2019-02-21 04:24:27;37.4553070068359;21.1875;7.1875;2.78002396574937;1;1;1;0;
2019-02-21 04:34:27;45.516185760498;21.625;6.875;2.78478128670719;1;1;1;0;
2019-02-21 04:44:27;43.014533996582;21.875;7.0625;2.78661406052571;1;1;1;0;
2019-02-21 04:54:27;40.3739013671875;21.875;6.625;2.78444491863373;1;1;1;0;
2019-02-21 05:04:27;41.0688056945801;21.875;6.9375;2.78391748521606;1;1;1;0;
2019-02-21 05:14:27;40.3739013671875;21.9375;6.75;2.78202647697058;1;1;1;0;
2019-02-21 05:24:27;40.0959396362305;22;6.5;2.77907155497638;1;1;1;0;
2019-02-21 05:34:27;40.234920501709;22;6.0625;2.7751703397037;1;1;1;0;
2019-02-21 05:44:27;41.6247253417969;22.125;6.25;2.77286747659222;1;1;1;0;
2019-02-21 05:54:27;42.736572265625;22.0625;5.75;2.77053927841471;1;1;1;0;
2019-02-21 06:04:27;43.8484191894531;22.125;5.6875;2.76898446226818;1;1;1;0;
2019-02-21 06:14:27;46.3500709533691;22.125;5.8125;2.77005349319158;1;1;1;0;
2019-02-21 06:24:27;48.1568222045898;22.125;5.6875;2.77239392947922;1;1;1;0;
2019-02-21 06:34:27;47.8788604736328;22.1875;5.625;2.7741175823174;1;1;1;0;
2019-02-21 06:44:27;45.7941474914551;22.125;5.25;2.77323496959885;1;1;1;0;
2019-02-21 06:54:27;45.516185760498;22.3125;5.5;2.77228841703767;1;1;1;0;
2019-02-21 07:04:27;45.9331283569336;22.375;5.625;2.77186533345158;1;1;1;0;
2019-02-21 07:14:27;48.1568222045898;22.5;5.875;2.77358722879709;1;1;1;0;
2019-02-21 07:24:27;44.2653617858887;22.5;5.5;2.77122547435141;1;1;1;0;
2019-02-21 07:34:27;44.9602661132813;22.625;5.625;2.76948948367429;1;1;1;0;
2019-02-21 07:44:27;43.9874000549316;22.6875;5.625;2.76688809877511;1;1;1;0;
2019-02-21 07:54:27;44.9602661132813;22.625;5.9375;2.76593554906928;1;1;1;0;
2019-02-21 08:04:27;41.3467674255371;22.75;6.25;2.76260664210464;1;1;1;0;
2019-02-21 08:14:27;37.733268737793;22.8125;6.375;2.75672607684857;1;1;1;0;
2019-02-21 08:24:27;39.5400161743164;22.75;6.3125;2.75235849614685;1;1;1;0;
2019-02-21 08:34:27;41.6247253417969;22.75;6.4375;2.7499126731492;1;1;1;0;
2019-02-21 08:44:27;37.4553070068359;22.875;6.875;2.74508099822688;1;1;1;0;
2019-02-21 08:54:27;35.5095748901367;22.5;7.1875;2.74031708427975;1;1;1;0;
2019-02-21 09:04:27;31.479133605957;22.25;7.625;2.73410549535005;1;1;1;0;
2019-02-21 09:14:27;27.4486923217773;22.125;8.5;2.72709204036065;1;1;1;0;
2019-02-21 09:24:27;27.7266540527344;21.875;8.375;2.720651873146;1;1;1;0;
2019-02-21 09:34:27;25.3639831542969;21.75;8.875;2.7138659620827;1;1;1;0;
2019-02-21 09:44:27;23.1402912139893;22.625;9.3125;2.70483079727836;1;1;1;0;
2019-02-21 09:54:27;22.7233486175537;21.9375;9.6875;2.69764967732726;1;1;1;0;
2019-02-21 10:04:27;22.5843677520752;22.25;9.875;2.69026381975363;1;1;1;0;
2019-02-21 10:14:27;17.442081451416;21.625;10.3125;2.68144666394651;1;1;1;0;
2019-02-21 10:24:27;18.13698387146;22.4375;10.5;2.67210707920906;1;1;1;0;
2019-02-21 10:34:27;18.2759647369385;22.5;10.25;2.66245356315305;1;1;1;0;
2019-02-21 10:44:27;18.414945602417;22.9375;11;2.65359795511581;1;1;1;0;
2019-02-21 10:54:27;20.7776184082031;23.25;11;2.64589072670103;1;1;1;0;
2019-02-21 11:04:27;18.8318881988525;23.375;11.4375;2.63757553038407;1;1;1;0;
2019-02-21 11:14:27;20.7776184082031;23.5;11.875;2.6311795442108;1;1;1;0;
2019-02-21 11:24:27;24.2521362304688;23.375;11.625;2.62689971862582;1;1;1;0;
2019-02-21 11:34:27;22.0284442901611;23.625;12.1875;2.62178884721227;1;1;1;0;
2019-02-21 11:44:27;21.7504825592041;23.625;12;2.61626557051907;1;1;1;0;
2019-02-21 11:54:27;21.6115036010742;23.625;12.3125;2.6112482908047;1;1;1;0;
2019-02-21 12:04:27;22.1674251556396;23.5;12.375;2.60695364166372;1;1;1;0;
2019-02-21 12:14:27;24.2521362304688;23.5;12.75;2.60461530406866;1;1;1;0;
2019-02-21 12:24:27;25.9199047088623;23.4375;12.875;2.60363537445908;1;1;1;0;
2019-02-21 12:34:27;24.2521362304688;23.375;12.5;2.60115044210949;1;1;1;0;
2019-02-21 12:44:27;24.3911170959473;23.3125;13.1875;2.59996770347631;1;1;1;0;
2019-02-21 12:54:27;24.3911170959473;23.375;13.1875;2.59870130131139;1;1;1;0;
2019-02-21 13:04:27;23.4182529449463;23.5625;13.25;2.59667129164436;1;1;1;0;
