tint,text,q
23.24193,11.58504,-1.232419
23.24193,11.62651,-1.19926
23.24193,11.85525,-1.149521
23.26314,11.90841,-1.143995
23.25494,12.07907,-1.193734
23.24674,12.26968,-1.121889
23.24674,12.33597,-1.110836
23.23034,12.52654,-1.110836
23.22214,12.58453,-1.088729
23.22214,12.69221,-1.110836
23.21395,12.77504,-1.094256
23.20575,12.89927,-1.061097
23.20575,12.97379,-1.149521
23.19755,12.91583,-1.143995
23.19755,12.4934,-1.088729
23.18935,12.44369,-1.044517
23.21055,12.53139,-1.044517
23.20236,12.56453,-1.044517
23.19416,12.56453,-1.03899
23.18596,12.65565,-1.066623
23.18596,12.75505,-1.027937
23.19416,12.84615,-1.254526
23.17776,12.89584,-0.9892515
23.16956,13.02833,-1.105309
23.16136,13.12769,-0.983725
23.16956,12.43197,-1.210313
23.16136,12.13365,-1.094256
23.16136,12.14194,-1.143995
23.15316,12.24968,-1.050043
23.14496,12.40712,-1.110836
23.14496,12.4734,-1.088729
23.13676,12.58938,-1.116362
23.13676,12.68879,-1.210313
23.13676,12.75505,-1.110836
23.12037,12.85443,-1.000305
23.12037,12.92896,-1.022411
23.12037,13.05317,-1.016884
23.10397,13.16908,-0.983725
23.10397,13.21876,-1.022411
23.09577,13.22703,-1.132942
23.09577,12.88756,-1.132942
23.10878,12.72678,-1.066623
23.10058,12.73507,-1.127415
23.09238,12.79304,-1.193734
23.09238,12.82617,-1.022411
23.08418,12.99179,-1.18268
23.08418,13.06632,-1.07215
23.07599,13.19878,-1.022411
23.07599,13.28156,-1.044517
23.06779,13.31468,-0.9560922
23.05959,13.40572,-1.155048
23.04319,13.43056,-0.9505656
23.05139,13.52987,-0.9726719
23.04319,13.45539,-1.011358
23.03499,13.35606,-0.9616187
23.02679,13.3809,-0.9174064
23.01859,13.43056,-0.9781984
23.00219,13.51332,-0.9726719
23.01039,13.10771,-1.160574
23.01039,12.6688,-1.044517
22.99399,12.53626,-1.005831
22.99399,12.61082,-1.005831
22.98579,12.6688,-1.083203
22.97759,12.75163,-1.005831
22.96939,12.88414,-1.07215
22.97759,12.92555,-1.088729
22.97759,13.04976,-1.07215
22.96939,13.21534,-1.011358
22.96119,13.31468,-1.127415
22.95299,13.36434,-1.016884
22.93659,13.48022,-1.033464
22.93659,13.52987,-1.000305
22.93659,13.57952,-1.016884
22.92838,13.62917,-1.000305
22.92838,13.70365,-0.9781984
22.92838,13.78638,-1.011358
22.91198,13.72019,-1.07215
22.91198,13.57125,-0.9892515
22.90379,13.57952,-0.983725
22.89558,13.62917,-1.005831
22.88738,13.63745,-1.033464
22.88738,13.71192,-1.193734
22.88738,13.78638,-1.000305
22.87918,13.85257,-1.160574
22.87918,13.39745,-1.166101
22.86278,13.19878,-1.033464
22.86278,13.18223,-1.005831
22.85458,13.24845,-1.094256
22.85458,13.35606,-1.050043
22.85458,13.44711,-1.07215
22.84638,13.51332,-1.160574
22.84638,13.63745,-1.066623
22.83817,13.70365,-1.03899
22.84638,13.74502,-1.033464
22.83817,13.82775,-1.027937
22.83817,13.88566,-1.177154
22.82998,13.94357,-1.005831
22.82177,14.00974,-1.083203
22.82177,14.08419,-1.000305
22.82177,14.11727,-1.050043
22.77595,14.09246,-1.050043
22.80537,13.43056,-1.149521
22.77595,13.11599,-1.050043
22.76775,12.95381,-1.07215
22.75954,13.12769,-1.088729
22.75134,13.19392,-1.110836
22.75134,13.26843,-1.05557
22.74314,13.39259,-1.07215
22.75134,13.44225,-1.05557
22.75134,13.52501,-1.155048
22.75134,13.61604,-1.05557
22.75134,13.72361,-1.099782
22.74314,13.81462,-1.050043
22.74314,13.8808,-1.07215
22.73494,13.95526,-1.110836
22.72674,14.00489,-1.110836
22.71854,14.07106,-1.077676
22.71854,14.12068,-1.066623
22.72674,14.17031,-1.204787
22.71854,14.21166,-1.061097
22.71033,14.26127,-1.050043
22.71854,14.21166,-1.121889
22.71033,14.05451,-1.099782
22.70213,14.02143,-1.077676
22.70213,14.03797,-1.110836
22.70213,14.11241,-1.155048
22.66451,14.16546,-1.177154
22.66451,14.23162,-1.171627
22.67272,14.29777,-1.132942
22.66451,14.33085,-1.155048
22.65631,14.21508,-1.132942
22.65631,13.55326,-1.315318
22.65631,13.25529,-1.193734
22.65631,13.24702,-1.188207
22.65631,13.28013,-1.237946
22.64811,13.40429,-1.271105
22.64811,13.52843,-1.21584
22.64811,13.61946,-1.243473
22.65631,13.68566,-1.309791
22.65631,13.76013,-1.193734
22.65631,13.87595,-1.210313
22.62688,13.93386,-1.293211
22.62688,13.98691,-1.138468
22.62688,14.03654,-1.138468
22.62688,14.09444,-1.116362
22.62688,14.15233,-1.260052
22.61868,14.22676,-1.160574
22.62688,14.27638,-1.210313
22.61868,14.31772,-1.132942
22.61868,14.3508,-1.193734
22.61048,14.39214,-1.232419
22.61048,14.41695,-1.18268
22.61048,14.45829,-1.177154
22.61048,14.50789,-1.188207
22.61868,14.56576,-1.226893
22.61868,14.61536,-1.193734
22.58105,14.64843,-1.193734
22.58105,14.64357,-1.210313
22.57285,14.66837,-1.21584
22.57285,14.69317,-1.271105
22.57285,14.7345,-1.221366
22.57285,14.76756,-1.243473
22.56465,14.79235,-1.265579
22.56465,14.83368,-1.271105
22.55644,14.85847,-1.326371
22.56465,14.86674,-1.210313
22.55644,14.63531,-1.315318
22.55644,14.58571,-1.271105
22.55644,14.61877,-1.304265
22.56465,14.65184,-1.260052
22.56465,14.70143,-1.271105
22.56465,14.74618,-1.21584
22.56465,14.79577,-1.293211
22.56465,14.85847,-1.298738
22.54343,14.87016,-1.232419
22.53523,14.91974,-1.254526
22.53523,14.96106,-1.282158
22.52703,14.98585,-1.221366
22.52703,14.47339,-1.304265
22.52703,14.16744,-1.226893
22.53523,14.12609,-1.232419
